grp,userid,take_exam,treatments_16,gender,pretest,posttest,exam,programme,lgain,pretest_binned,SC,F_m,CB_m,V_m,MAp_m,MAv_m,PAp_m,PAv_m,Mind_m,MindDom_m
GROUP163,noname160254,1,2,1,0,0.18,24,KON,0.18,1,0.3,0.38,0.38,0.7,0.28,0.25,0.25,0.25,0.3,0.5
GROUP163,noname160255,1,2,1,0,0.36,72,-OTHER-,0.36,1,0.41,0.67,0.63,0.8,0.95,0.71,0.7,0.5,-0.08,0.34
GROUP163,noname160256,1,2,1,0.09,0.55,85,KEM,0.51,1,0.68,0.67,0.75,0.9,0.5,0.42,0.78,0.78,-0.08,0.5
GROUP163,noname160259,1,2,1,0,0.82,89,EST,0.82,1,0.45,0.75,0.75,0.8,0.83,0.71,0.53,0.53,-0.43,0.67
GROUP163,noname160260,1,2,0,0.09,0.45,85,KEM,0.4,1,0.52,0.58,0.38,0.8,0.59,0.3,0.42,0.2,0.15,0.37
GROUP163,noname160261,1,2,1,0.09,,84,BIO,,1,,0.75,0.55,0.73,1,1,1,1,0.15,0.53
GROUP163,noname160263,1,2,0,0,0.73,73,MTE,0.73,1,0.43,0.54,0.48,0.6,0.61,0.21,0.59,0.36,-0.1,0.4
GROUP163,noname160264,0,2,1,0,,-1,-OTHER-,,1,,0.67,0.55,0.93,0.89,0.25,0.67,0.39,0.45,0.47
GROUP163,noname160266,1,2,0,0,1,86,BIO,1,1,0.41,0.71,0.43,0.87,0.81,0.04,0.61,0.53,0.7,0.87
GROUP163,noname160267,1,2,1,0.18,0.73,86,AUT,0.67,1,0.64,0.92,0.73,0.97,0.95,0.71,0.67,0.7,0.2,0.4
GROUP163,noname160268,1,2,0,0.18,1,96,AUT,1,1,0.59,0.75,0.85,0.87,1,1,1,1,-0.48,0.87
GROUP163,noname160269,1,2,0,0,0.91,69,ENE,0.91,1,0.57,0.38,0.53,0.73,0.67,0.54,0.64,0.61,0.13,0.53
GROUP163,noname160270,1,2,1,0.09,,60,EST,,1,,0.42,1,0.93,0.83,0.67,0.78,0,0.85,0.93
GROUP163,noname160271,1,2,0,0.09,,55,-OTHER-,,1,,0.08,0.2,0.4,0.22,0.42,0.33,0.56,0.15,0.07
GROUP163,noname160272,1,2,1,0,0.36,25,-OTHER-,0.36,1,0.68,0.42,0.2,0.7,0.58,0.59,0.62,0.64,-0.35,-0.01
GROUP163,noname160273,1,2,1,0.18,0.64,90,-OTHER-,0.56,1,,0.67,0.35,0.67,0.94,0.5,0.5,0.5,-0.25,1
GROUP163,noname160274,1,2,0,0.18,,35,-OTHER-,,1,,0.58,0.3,0.8,0.67,0.08,0.44,0.44,0.55,0.13
GROUP163,noname160277,1,2,1,0.09,0.45,72,KON,0.4,1,0.48,0.67,0.48,0.7,0.75,0.75,0.58,0.64,0.7,1
GROUP163,noname160278,1,2,1,0.09,0.64,80,EST,0.6,1,0.68,0.92,0.55,0.8,0.92,0,0.83,0.56,0.13,0.44
GROUP163,noname160279,0,2,1,0.09,,-1,KEM,,1,,1,1,1,0.89,0.67,0.17,0.17,-0.05,1
GROUP163,noname160280,1,2,1,0.09,0.73,87,KON,0.7,1,0.5,0.5,0.5,0.64,0.64,0.79,0.5,0.56,-0.15,0.44
GROUP163,noname160281,1,2,1,0.09,0.64,84,EST,0.6,1,0.66,0.5,0.63,0.7,0.64,0.75,0.67,0.72,-0.03,0.1
GROUP163,noname160282,0,2,1,0,,-1,KON,,1,,0.5,0.3,0.6,0.56,0.58,0.83,0.78,0.3,0.54
GROUP163,noname160283,1,2,1,0.09,0.91,88,EST,0.9,1,0.41,0.79,0.65,0.9,0.83,0.5,0.67,0.5,0.7,0.8
GROUP163,noname160284,1,2,0,0.18,,67,KON,,1,,0.75,0.45,0.93,0.78,0.67,0.83,0.83,0,0.67
GROUP163,noname160286,1,2,1,0.09,1,88,AUT,1,1,0.59,0.71,0.6,0.67,0.89,0.83,0.83,0.83,0.25,0.54
GROUP163,noname160287,1,2,0,0.09,0.73,87,KEM,0.7,1,0.43,0.71,0.63,0.87,0.81,0.71,0.45,0.45,0.35,0.44
GROUP163,noname160288,1,2,1,0.09,0.82,94,KON,0.8,1,0.66,0.58,0.75,0.8,0.89,0.75,1,0.84,0.23,0.83
GROUP163,noname160291,1,2,1,0.09,0.27,53,-OTHER-,0.2,1,0.52,0.5,0.5,0.64,0.5,0.71,0.33,0.39,0.73,0.74
